env,learning_rate,bias,mean_ht,std_ht
unhealthy,0.3,0.7,0.4653406490885962,0.05153302128798303
unhealthy,0.3,0.8,0.4372075396711079,0.052701597808146136
unhealthy,0.3,0.9,0.4088071709671342,0.056704149011661646
unhealthy,0.3,1.0,0.38195665512895927,0.05918201260490733
unhealthy,0.4,0.0,0.66247371487564,0.051617290400763266
unhealthy,0.4,0.1,0.6338025815300484,0.04930235615052477
unhealthy,0.4,0.2,0.6059842283957589,0.049043850842651865
unhealthy,0.4,0.3,0.5777028304025938,0.050492125966633356
unhealthy,0.4,0.4,0.5498378181402346,0.04986615969453831
unhealthy,0.4,0.5,0.5215669848625928,0.05355859628628179
unhealthy,0.4,0.6,0.4933350170924738,0.05463924146196378
unhealthy,0.4,0.7,0.46555081919483093,0.05217600522004202
unhealthy,0.4,0.8,0.43767555952779263,0.05366502101712513
unhealthy,0.4,0.9,0.40943334804185305,0.05638019719202629
unhealthy,0.4,1.0,0.37994433215604995,0.05960916429772908
unhealthy,0.5,0.0,0.6621249487937362,0.04671460646687886
unhealthy,0.5,0.1,0.6344819301906055,0.04968338085051723
unhealthy,0.5,0.2,0.6063137507693409,0.05296790225122875
unhealthy,0.5,0.3,0.5775983410304821,0.05092984682634347
unhealthy,0.5,0.4,0.549786998800493,0.04906180693446719
unhealthy,0.5,0.5,0.5215708494720505,0.05112758777155354
unhealthy,0.5,0.6,0.4934823912480031,0.048427863104347164
unhealthy,0.5,0.7,0.4653304138723439,0.05370440913512492
unhealthy,0.5,0.8,0.4368540194804476,0.05647094067667778
unhealthy,0.5,0.9,0.4099767411840913,0.05781093674083156
unhealthy,0.5,1.0,0.37969492696900264,0.05776512117492395
unhealthy,0.6,0.0,0.663002540026002,0.048097526547998704
unhealthy,0.6,0.1,0.6343759259760262,0.04945131470097748
unhealthy,0.6,0.2,0.6062107292700362,0.04910859295523304
unhealthy,0.6,0.3,0.5782960432071825,0.050188424791016165
unhealthy,0.6,0.4,0.5497634869279685,0.05007277409676098
unhealthy,0.6,0.5,0.5217976631606362,0.049297682356170124
unhealthy,0.6,0.6,0.49356611658465244,0.053775591930450166
unhealthy,0.6,0.7,0.4649914562704465,0.054511859835652425
unhealthy,0.6,0.8,0.4370094615870872,0.05519941882346623
unhealthy,0.6,0.9,0.40914914721669177,0.0576178582031997
unhealthy,0.6,1.0,0.3801670327327936,0.05683596246713445
unhealthy,0.7,0.0,0.6618595006492641,0.04938796443639796
unhealthy,0.7,0.1,0.6338180224281016,0.0490321060414775
unhealthy,0.7,0.2,0.6061476604109131,0.05053627937221914
unhealthy,0.7,0.3,0.5781414305056573,0.05304929651882747
unhealthy,0.7,0.4,0.5499493875982822,0.05250475420091699
unhealthy,0.7,0.5,0.5216083423874472,0.05118260621871979
unhealthy,0.7,0.6,0.4933618716284103,0.05112604931709324
unhealthy,0.7,0.7,0.46459324309997607,0.05378585380315056
unhealthy,0.7,0.8,0.43685892691300876,0.0503833518686807
unhealthy,0.7,0.9,0.4085465542251674,0.055862033889007824
unhealthy,0.7,1.0,0.38094221911137144,0.06104672576843368
unhealthy,0.8,0.0,0.6624373473110773,0.05058142473312376
unhealthy,0.8,0.1,0.6329969094080122,0.04644986975022645
unhealthy,0.8,0.2,0.6065115238413148,0.04807269317475926
unhealthy,0.8,0.3,0.5780424686872465,0.04849859463783201
unhealthy,0.8,0.4,0.5498315506848719,0.05178650968478955
unhealthy,0.8,0.5,0.5216415008771667,0.052807164488110805
unhealthy,0.8,0.6,0.4936363385231116,0.04991593816147807
unhealthy,0.8,0.7,0.4656253807047932,0.051956465145084965
unhealthy,0.8,0.8,0.4363228450265295,0.05640804661022616
unhealthy,0.8,0.9,0.4081878818662249,0.0562307866341944
unhealthy,0.8,1.0,0.37976428573813054,0.0575158223693662
unhealthy,0.9,0.0,0.6625621699727496,0.048107276698511434
unhealthy,0.9,0.1,0.6341411764061116,0.046349407671798556
unhealthy,0.9,0.2,0.6060086405176621,0.05186865307105255
unhealthy,0.9,0.3,0.5780890933887999,0.05099600104995805
unhealthy,0.9,0.4,0.5498241377377601,0.05027602734523382
unhealthy,0.9,0.5,0.5215204846030355,0.05225681164980606
unhealthy,0.9,0.6,0.4932210611684201,0.053055618307431815
unhealthy,0.9,0.7,0.46487465359367725,0.05109192526241252
unhealthy,0.9,0.8,0.43674272930709807,0.053271210515683246
unhealthy,0.9,0.9,0.40849426720918,0.05193482660544786
unhealthy,0.9,1.0,0.380433170627772,0.05391068690164317
unhealthy,1.0,0.0,0.6623461632538429,0.045473730834284326
unhealthy,1.0,0.1,0.6345099365744512,0.047678887468935574
unhealthy,1.0,0.2,0.6059780273349258,0.0473236729290391
unhealthy,1.0,0.3,0.578066180106287,0.04873520013373541
unhealthy,1.0,0.4,0.5498390199625737,0.04984649160842056
