bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
39,unhealthy,1.0,0.1563441371170321,0.2007943512797881,0.3971756398940864,0.2992056487202117,0.1028243601059134,0.1818301131011952,0.025485975984163
39,balanced,0.08,0.1284151304655791,0.3617363344051446,0.272508038585209,0.1828778135048231,0.1828778135048231,0.1248363360622059,-0.0035787944033731
40,healthy,0.96,0.1612377035245925,0.2227116984826236,0.3318649045521292,0.0048947626040137,0.4405286343612334,0.1800185445910026,0.0187808410664101
40,unhealthy,1.0,0.1628335018832477,0.0072674418604651,0.6540697674418605,0.1693313953488372,0.1693313953488372,0.1820967246961721,0.0192632228129243
40,balanced,0.12,0.1305008836577585,0.3318649045521292,0.4405286343612334,0.0048947626040137,0.2227116984826236,0.1337168343939634,0.0032159507362049
41,healthy,0.82,0.1411903312371185,0.3068530514831231,0.1551312649164677,0.231162632117286,0.3068530514831231,0.1450253206083527,0.0038349893712341
41,unhealthy,0.99,0.1580535179812051,0.0141043723554301,0.3286318758815233,0.3286318758815233,0.3286318758815233,0.1615859262363249,0.0035324082551197
41,balanced,0.0,0.1161237424480109,0.2992056487202118,0.2007943512797881,0.2992056487202118,0.2007943512797881,0.1274403494868481,0.0113166070388372
42,healthy,0.9,0.1904047100985942,0.2723985536359984,0.2723985536359984,0.0936118923262354,0.3615910004017678,0.2081245535161267,0.0177198434175325
42,unhealthy,0.98,0.1689174202722438,0.0141043723554301,0.3286318758815233,0.3286318758815233,0.3286318758815233,0.1891184597336709,0.020201039461427
42,balanced,0.12,0.1142123387821072,0.3067484662576686,0.231083844580777,0.231083844580777,0.231083844580777,0.1439064023572143,0.029694063575107
43,healthy,0.79,0.1427047178798547,0.2851711026615969,0.214828897338403,0.214828897338403,0.2851711026615969,0.1596832260340589,0.0169785081542042
43,unhealthy,0.85,0.1506062236497032,0.2723985536359984,0.3615910004017678,0.2723985536359984,0.0936118923262354,0.152914094994162,0.0023078713444587
43,balanced,0.06,0.1058675298002024,0.2723985536359984,0.1828043390920048,0.2723985536359984,0.2723985536359984,0.1552129108887439,0.0493453810885414
44,healthy,1.0,0.1363994247643611,0.3319808188860199,0.0859461453338251,0.250092216894135,0.3319808188860199,0.1510941040853812,0.01469467932102
44,unhealthy,1.0,0.1438034160505864,0.250092216894135,0.3319808188860199,0.3319808188860199,0.0859461453338251,0.1758377295485785,0.0320343134979921
44,balanced,0.96,0.1339177746804309,0.1457160725453408,0.1457160725453408,0.2845528455284552,0.424015009380863,0.1617248567890705,0.0278070821086395
45,healthy,1.0,0.154620202500112,0.3319808188860199,0.0859461453338251,0.3319808188860199,0.250092216894135,0.170643583544422,0.01602338104431
45,unhealthy,0.89,0.1535865958357527,0.1551312649164677,0.3068530514831231,0.3068530514831231,0.231162632117286,0.1909286445902973,0.0373420487545446
